Id,Label,initial_assets,initial_reserves,initial_customer_loans,initial_interbank_assets,initial_deposits,initial_interbank_liabilities,initial_equity,initial_equity_ratio,initial_reserve_ratio,interbank_assets,interbank_liabilities,total_assets,reserves,customer_loans,deposits,equity,equity_ratio,reserve_ratio,interbank_asset_ratio,interbank_liability_ratio,out_degree,in_degree,degree,weighted_out_degree,weighted_in_degree
B001,Bank 001,269.4871571320,32.1704250994,166.8675035604,70.4492284722,65.5339488911,151.5180667541,52.4351414869,0.1945738047,0.1193764684,5.9262972445,29.6142817522,204.9642259044,32.1704250994,166.8675035604,97.4100439472,77.9399002051,0.3802609936,0.1569562930,0.0289138127,0.1444851248,22,22,44,5.9262972445,29.6142817522
B002,Bank 002,146.9925630477,27.9812310126,18.6379264905,100.3734055446,102.2001798226,9.0754276182,35.7169556069,0.2429847801,0.1903581408,7.5060609573,0.9833882631,138.9005236926,78.8641196557,52.5303430796,102.2001798226,35.7169556069,0.2571405396,0.5677740988,0.0540391120,0.0070798024,14,16,30,7.5060609573,0.9833882631
B003,Bank 003,368.4366299573,83.2047692232,244.7110001536,40.5208605804,251.6781194554,70.4517164858,46.3067940161,0.1256845554,0.2258319680,7.0849381925,12.6889004142,335.0007075694,83.2047692232,244.7110001536,272.2246188844,50.0871882708,0.1495136790,0.2483719208,0.0211490246,0.0378772347,29,45,74,7.0849381925,12.6889004142
B004,Bank 004,221.8486528301,39.9713562199,91.7691508696,90.1081457406,23.6302950990,190.0475657737,8.1707919574,0.0368304781,0.1801739867,12.0862647955,18.6746871832,143.8267718849,39.9713562199,91.7691508696,92.9962138876,32.1558708141,0.2235736115,0.2779131847,0.0840334844,0.1298415235,27,19,46,12.0862647955,18.6746871832
B005,Bank 005,106.8163864783,25.7216855787,0.0000000000,81.0947008996,106.0235715105,0.3153312318,0.4774837361,0.0044701356,0.2408028059,3.8053566547,0.0389145913,106.5399698379,102.7346131831,0.0000000000,106.0235715105,0.4774837361,0.0044817334,0.9642823566,0.0357176434,0.0003652581,9,12,21,3.8053566547,0.0389145913
B006,Bank 006,1189.4297434867,232.5350524091,0.0000000000,956.8946910776,984.9005682079,135.3229770353,69.2061982436,0.0581843515,0.1955012927,331.3122445843,64.0785428874,1118.1853093389,786.8730647546,0.0000000000,984.9005682079,69.2061982436,0.0618915288,0.7037054218,0.2962945782,0.0573058350,84,69,153,331.3122445843,64.0785428874
B007,Bank 007,259.7590496952,56.2898794693,123.7479299780,79.7212402478,71.2533606532,179.7196685011,8.7860205409,0.0338237322,0.2167003596,2.3653550250,9.7659878763,182.4031644723,56.2898794693,123.7479299780,153.6865830624,18.9505935337,0.1038939954,0.3086014414,0.0129677302,0.0535406713,9,9,18,2.3653550250,9.7659878763
B008,Bank 008,279.5618026330,7.9747849570,40.3737336692,231.2132840068,194.2519129736,37.8579052459,47.4519844135,0.1697370097,0.0285260178,35.1234897199,4.4986957358,246.2025931229,34.8161744429,176.2629289600,194.2519129736,47.4519844135,0.1927355184,0.1414127041,0.1426609252,0.0182723329,23,20,43,35.1234897199,4.4986957358
B009,Bank 009,109.5704407369,20.0627175812,35.5215673138,53.9861558419,11.2950401946,94.8418690357,3.4335315066,0.0313362937,0.1831033757,2.2549625641,5.3751162241,57.8392474590,20.0627175812,35.5215673138,40.2336684844,12.2304627506,0.2114561183,0.3468703080,0.0389867203,0.0929319875,11,7,18,2.2549625641,5.3751162241
B010,Bank 010,149.0372320421,16.3974004076,131.4139222948,1.2259093397,129.9816810318,0.1164729126,18.9390780977,0.1270761530,0.1100221749,0.0365337818,0.0055886464,148.9263477759,16.5170424839,132.3727715102,129.9816810318,18.9390780977,0.1271707685,0.1109074568,0.0002453144,0.0000375262,5,8,13,0.0365337818,0.0055886464
B011,Bank 011,136.1883468711,18.8315731246,0.0000000000,117.3567737465,74.8955876316,37.6135079948,23.6792512447,0.1738713465,0.1382759506,2.4674514436,0.1499835399,98.7248224162,96.2573709726,0.0000000000,74.8955876316,23.6792512447,0.2398510391,0.9750067776,0.0249932224,0.0015192080,4,1,5,2.4674514436,0.1499835399
B012,Bank 012,571.2867682042,93.4200128969,0.0000000000,477.8667553073,317.2944293871,170.7569788707,83.2353599465,0.1456980357,0.1635256024,118.3162545108,28.8641178800,429.3939072135,311.0776527028,0.0000000000,317.2944293871,83.2353599465,0.1938438309,0.7244575377,0.2755424623,0.0672206042,47,33,80,118.3162545108,28.8641178800
B013,Bank 013,199.0323448514,48.2561441876,149.3998087899,1.3763918740,17.0872035241,171.8454167003,10.0997246270,0.0507441373,0.2424537792,0.0690355993,39.8213176020,197.7249885768,48.2561441876,149.3998087899,99.2437302278,58.6599407470,0.2966743919,0.2440568819,0.0003491496,0.2013974960,9,19,28,0.0690355993,39.8213176020
B014,Bank 014,316.9286308436,78.0102458267,107.2785394134,131.6398456034,227.0876208904,26.0664101298,63.7745998234,0.2012270070,0.2461445204,3.2552159139,1.4670110280,292.3292317418,121.7058820242,167.3681338037,227.0876208904,63.7745998234,0.2181601869,0.4163315495,0.0111354444,0.0050183521,4,14,18,3.2552159139,1.4670110280
B015,Bank 015,147.7900688000,10.6493180577,8.1067159556,129.0340347867,3.5180889866,117.7974025870,26.4745772264,0.1791363753,0.0720570614,2.7120573378,6.6310817955,36.6237480085,19.2544105844,14.6572800863,3.5180889866,26.4745772264,0.7228800619,0.5257356669,0.0740518785,0.1810596172,3,9,12,2.7120573378,6.6310817955
B016,Bank 016,118.7507693266,21.7834480792,84.7718784600,12.1954427873,23.3075908167,73.4734529133,21.9697255966,0.1850070170,0.1834383744,0.2066713900,5.5049184456,106.7619979293,21.7834480792,84.7718784600,52.1245242177,49.1325552659,0.4602064051,0.2040374712,0.0019358142,0.0515625274,4,4,8,0.2066713900,5.5049184456
B017,Bank 017,171.4575587776,32.1475866344,118.8002704214,20.5097017218,23.6974177134,141.9934438124,5.7666972519,0.0336333801,0.1874958845,0.6566764595,7.8670297978,151.6045335153,32.1475866344,118.8002704214,115.6052937850,28.1322099325,0.1855631179,0.2120489796,0.0043315094,0.0518917846,9,8,17,0.6566764595,7.8670297978
B018,Bank 018,104.4943748628,9.0516387343,46.9782882349,48.4644478936,78.5855488470,22.5843691300,3.3244568858,0.0318146971,0.0866232153,0.9216114734,2.5642824210,84.4742881539,13.4979409310,70.0547357495,78.5855488470,3.3244568858,0.0393546600,0.1597875664,0.0109099644,0.0303557742,4,9,13,0.9216114734,2.5642824210
B019,Bank 019,322.8698665385,9.9984544196,190.7594552762,122.1119568426,49.1498873656,198.8260920409,74.8938871319,0.2319630752,0.0309674437,7.3096672219,2.9332728112,208.0675769177,9.9984544196,190.7594552762,81.2804026845,123.8539014220,0.5952580563,0.0480538802,0.0351312171,0.0140976929,6,3,9,7.3096672219,2.9332728112
B020,Bank 020,194.6125614255,1.9921982059,51.1734608807,141.4469023389,159.5000110576,15.6518838504,19.4606665176,0.0999969703,0.0102367401,1.4215669801,1.2829705931,180.2436481682,6.7007356901,172.1213454981,159.5000110576,19.4606665176,0.1079686675,0.0371759879,0.0078869186,0.0071179795,4,4,8,1.4215669801,1.2829705931
B021,Bank 021,257.5696854473,50.0550062106,0.0000000000,207.5146792367,156.1991296002,81.8116864521,19.5588693950,0.0759362243,0.1943357819,20.2152597614,9.7442492408,185.5022482360,165.2869884746,0.0000000000,156.1991296002,19.5588693950,0.1054373711,0.8910241792,0.1089758208,0.0525290089,17,15,32,20.2152597614,9.7442492408
B022,Bank 022,133.8897971125,16.3914497695,63.2150867546,54.2832605884,4.2479330354,113.2192860225,16.4225780545,0.1226574273,0.1224249355,0.4665837328,0.0000000000,80.0731202568,16.3914497695,63.2150867546,16.4555801889,63.6175400678,0.7944930816,0.2047060202,0.0058269708,0.0000000000,1,0,1,0.4665837328,0.0000000000
B023,Bank 023,1052.1283710760,259.2286932902,50.8916080004,742.0080697854,4.7642401735,872.6548596709,174.7092712315,0.1660531890,0.2463850424,174.8737896474,204.4472390143,484.9940909380,259.2286932902,50.8916080004,7.4472972196,273.0995547041,0.5630987260,0.5344986632,0.3605689078,0.4215458350,43,37,80,174.8737896474,204.4472390143
B024,Bank 024,444.0229394047,51.6147201911,243.0482475979,149.3599716158,17.4564279028,320.4671453207,106.0993661812,0.2389501910,0.1162433640,13.3818575873,22.7791175336,308.0448253763,51.6147201911,243.0482475979,40.3034135227,244.9622943200,0.7952163911,0.1675558748,0.0434412673,0.0739474117,24,19,43,13.3818575873,22.7791175336
B025,Bank 025,273.0645159558,66.7586066339,161.5902778010,44.7156315209,153.4899937372,99.8251009302,19.7494212884,0.0723251105,0.2444792448,3.2258973477,9.1912086693,231.5747817826,66.7586066339,161.5902778010,197.0316814991,25.3518916142,0.1094760467,0.2882809869,0.0139302618,0.0396900241,12,11,23,3.2258973477,9.1912086693
