Source,Target,Type,Weight,relationship
B001,B002,Directed,0.0319793073,interbank_loan
B001,B003,Directed,0.2482524444,interbank_loan
B001,B004,Directed,0.6696752772,interbank_loan
B001,B005,Directed,0.0011111404,interbank_loan
B001,B006,Directed,0.4768408992,interbank_loan
B001,B009,Directed,0.3341966243,interbank_loan
B001,B013,Directed,0.6055359172,interbank_loan
B001,B014,Directed,0.0918508498,interbank_loan
B001,B016,Directed,0.2589002113,interbank_loan
B001,B025,Directed,0.3517561609,interbank_loan
B001,B026,Directed,0.0621219097,interbank_loan
B001,B072,Directed,0.2512636890,interbank_loan
B001,B074,Directed,0.3104349628,interbank_loan
B001,B079,Directed,0.1730643462,interbank_loan
B001,B080,Directed,0.4529939465,interbank_loan
B001,B120,Directed,0.0896918687,interbank_loan
B001,B121,Directed,0.0699314772,interbank_loan
B001,B122,Directed,0.3914915995,interbank_loan
B001,B130,Directed,0.4063754393,interbank_loan
B001,B158,Directed,0.2946751636,interbank_loan
B001,B186,Directed,0.2018253795,interbank_loan
B001,B200,Directed,0.1523286305,interbank_loan
B002,B001,Directed,0.7606919028,interbank_loan
B002,B003,Directed,0.3537007264,interbank_loan
B002,B004,Directed,0.9541280953,interbank_loan
B002,B005,Directed,0.0015831110,interbank_loan
B002,B007,Directed,0.9022771973,interbank_loan
B002,B008,Directed,0.1900644761,interbank_loan
B002,B009,Directed,0.4761507546,interbank_loan
B002,B010,Directed,0.0005847488,interbank_loan
B002,B012,Directed,0.8572802832,interbank_loan
B002,B013,Directed,0.8627447526,interbank_loan
B002,B018,Directed,0.1133841468,interbank_loan
B002,B049,Directed,0.9238858859,interbank_loan
B002,B074,Directed,0.4422960350,interbank_loan
B002,B119,Directed,0.6672888416,interbank_loan
B003,B001,Directed,0.3070922061,interbank_loan
B003,B002,Directed,0.0183938005,interbank_loan
B003,B004,Directed,0.3851826220,interbank_loan
B003,B005,Directed,0.0006391037,interbank_loan
B003,B006,Directed,0.2742684911,interbank_loan
B003,B008,Directed,0.0767292501,interbank_loan
B003,B012,Directed,0.3460850476,interbank_loan
B003,B013,Directed,0.3482910602,interbank_loan
B003,B024,Directed,0.6495130563,interbank_loan
B003,B026,Directed,0.0357311683,interbank_loan
B003,B030,Directed,0.0844027414,interbank_loan
B003,B037,Directed,0.1717589680,interbank_loan
B003,B057,Directed,0.0048506793,interbank_loan
B003,B063,Directed,0.0175698449,interbank_loan
B003,B070,Directed,0.1451812889,interbank_loan
B003,B077,Directed,0.1344643470,interbank_loan
B003,B078,Directed,0.1418899553,interbank_loan
B003,B079,Directed,0.0995428395,interbank_loan
B003,B093,Directed,0.0802939854,interbank_loan
B003,B115,Directed,0.1394726285,interbank_loan
B003,B119,Directed,0.2693852816,interbank_loan
B003,B120,Directed,0.0515888078,interbank_loan
B003,B124,Directed,0.1002157524,interbank_loan
B003,B133,Directed,0.1830396794,interbank_loan
B003,B137,Directed,0.7839341038,interbank_loan
B003,B149,Directed,0.0621116443,interbank_loan
B003,B178,Directed,1.9224586475,interbank_loan
B003,B179,Directed,0.1206631880,interbank_loan
B003,B192,Directed,0.1301880034,interbank_loan
B004,B001,Directed,0.6828953991,interbank_loan
B004,B002,Directed,0.0409031603,interbank_loan
B004,B003,Directed,0.3175275007,interbank_loan
B004,B005,Directed,0.0014212051,interbank_loan
B004,B006,Directed,0.6099037586,interbank_loan
B004,B008,Directed,0.1706264465,interbank_loan
B004,B010,Directed,0.0005249461,interbank_loan
B004,B013,Directed,0.7745112312,interbank_loan
B004,B018,Directed,0.1017882692,interbank_loan
B004,B019,Directed,0.8961137532,interbank_loan
B004,B021,Directed,0.3687271457,interbank_loan
B004,B024,Directed,1.4443527680,interbank_loan
B004,B025,Directed,0.4499140175,interbank_loan
B004,B026,Directed,0.0794570815,interbank_loan
B004,B029,Directed,0.3996518831,interbank_loan
B004,B046,Directed,0.3041694958,interbank_loan
B004,B055,Directed,0.8687285050,interbank_loan
B004,B094,Directed,0.4134230533,interbank_loan
B004,B097,Directed,0.2610442799,interbank_loan
B004,B101,Directed,0.4707438273,interbank_loan
B004,B126,Directed,0.3770642052,interbank_loan
B004,B132,Directed,0.7089572600,interbank_loan
B004,B141,Directed,0.0073704225,interbank_loan
B004,B154,Directed,0.0614325145,interbank_loan
B004,B157,Directed,0.3216080515,interbank_loan
B004,B170,Directed,1.2337185358,interbank_loan
B004,B182,Directed,0.7196860788,interbank_loan
B005,B001,Directed,0.6145859254,interbank_loan
B005,B002,Directed,0.0368116503,interbank_loan
B005,B003,Directed,0.2857654820,interbank_loan
B005,B004,Directed,0.7708688580,interbank_loan
B005,B010,Directed,0.0004724362,interbank_loan
B005,B013,Directed,0.6970375000,interbank_loan
B005,B015,Directed,0.4778085362,interbank_loan
B005,B078,Directed,0.2839654273,interbank_loan
B005,B132,Directed,0.6380408394,interbank_loan
B006,B005,Directed,0.0150923492,interbank_loan
B006,B002,Directed,0.4343671327,interbank_loan
B006,B008,Directed,1.8119509561,interbank_loan
B006,B013,Directed,8.2248467018,interbank_loan
B006,B016,Directed,3.5165784370,interbank_loan
B006,B018,Directed,1.0809306266,interbank_loan
B006,B020,Directed,0.7491287678,interbank_loan
B006,B025,Directed,4.7778181572,interbank_loan
B006,B026,Directed,0.8437867506,interbank_loan
B006,B027,Directed,5.5020701765,interbank_loan
B006,B028,Directed,0.6392016350,interbank_loan
B006,B029,Directed,4.2440643087,interbank_loan
B006,B031,Directed,0.8279927007,interbank_loan
B006,B034,Directed,0.8979665065,interbank_loan
B006,B039,Directed,1.4399684073,interbank_loan
B006,B040,Directed,3.6024044979,interbank_loan
B006,B042,Directed,10.6605661046,interbank_loan
B006,B046,Directed,3.2300983816,interbank_loan
B006,B049,Directed,8.8077264553,interbank_loan
B006,B050,Directed,1.8129492015,interbank_loan
B006,B054,Directed,7.6879257881,interbank_loan
B006,B057,Directed,0.1145481417,interbank_loan
B006,B058,Directed,4.4163644088,interbank_loan
B006,B063,Directed,0.4149095319,interbank_loan
B006,B064,Directed,8.4575853299,interbank_loan
B006,B065,Directed,3.0421124916,interbank_loan
B006,B069,Directed,4.0378407911,interbank_loan
B006,B070,Directed,3.4284366762,interbank_loan
B006,B074,Directed,4.2165623995,interbank_loan
B006,B075,Directed,2.9832630928,interbank_loan
B006,B076,Directed,3.7371967666,interbank_loan
B006,B078,Directed,3.3507122758,interbank_loan
B006,B079,Directed,2.3506908127,interbank_loan
B006,B083,Directed,5.6851042738,interbank_loan
B006,B084,Directed,3.4591776203,interbank_loan
B006,B090,Directed,3.2167548469,interbank_loan
B006,B091,Directed,1.2603159506,interbank_loan
B006,B092,Directed,3.6775307298,interbank_loan
B006,B096,Directed,3.2433164662,interbank_loan
B006,B097,Directed,2.7721343450,interbank_loan
B006,B098,Directed,1.5209444620,interbank_loan
B006,B108,Directed,0.8078214305,interbank_loan
B006,B109,Directed,2.4159284259,interbank_loan
B006,B110,Directed,19.2743497483,interbank_loan
B006,B115,Directed,3.2936274268,interbank_loan
B006,B117,Directed,7.6596423658,interbank_loan
B006,B118,Directed,2.3801816858,interbank_loan
B006,B119,Directed,6.3614973157,interbank_loan
B006,B120,Directed,1.2182627809,interbank_loan
B006,B121,Directed,0.9498622014,interbank_loan
B006,B122,Directed,5.3175349297,interbank_loan
B006,B123,Directed,3.9408005449,interbank_loan
B006,B124,Directed,2.3665815588,interbank_loan
B006,B126,Directed,4.0041966597,interbank_loan
B006,B127,Directed,0.2075180065,interbank_loan
B006,B129,Directed,0.9870314345,interbank_loan
B006,B130,Directed,5.5196984959,interbank_loan
B006,B134,Directed,1.7916187992,interbank_loan
B006,B137,Directed,18.5124987799,interbank_loan
B006,B138,Directed,5.0798705842,interbank_loan
B006,B139,Directed,10.8027206675,interbank_loan
B006,B140,Directed,0.6356674991,interbank_loan
B006,B141,Directed,0.0782694845,interbank_loan
B006,B143,Directed,3.9242109443,interbank_loan
B006,B145,Directed,5.0668105128,interbank_loan
B006,B146,Directed,2.6019451356,interbank_loan
B006,B147,Directed,2.9032710809,interbank_loan
B006,B148,Directed,6.7282028913,interbank_loan
B006,B155,Directed,4.3588870351,interbank_loan
B006,B157,Directed,3.4152854284,interbank_loan
B006,B165,Directed,2.4056339847,interbank_loan
B006,B166,Directed,1.9237254358,interbank_loan
B006,B167,Directed,2.9787332181,interbank_loan
B006,B168,Directed,11.2777221602,interbank_loan
B006,B170,Directed,13.1013540171,interbank_loan
B006,B171,Directed,3.2218249151,interbank_loan
B006,B175,Directed,0.7663715040,interbank_loan
B006,B184,Directed,3.2615468761,interbank_loan
B006,B187,Directed,4.4110506718,interbank_loan
B006,B188,Directed,2.5766677813,interbank_loan
B006,B189,Directed,9.3721843936,interbank_loan
B006,B192,Directed,3.0743722506,interbank_loan
B006,B197,Directed,2.0752854243,interbank_loan
B006,B200,Directed,2.0690426420,interbank_loan
B007,B008,Directed,0.1509580718,interbank_loan
B007,B011,Directed,0.1499835399,interbank_loan
B007,B014,Directed,0.1039395864,interbank_loan
B007,B017,Directed,0.5661976369,interbank_loan
B007,B029,Directed,0.3535833917,interbank_loan
B007,B046,Directed,0.2691074070,interbank_loan
B007,B155,Directed,0.3631495543,interbank_loan
B007,B166,Directed,0.1602702775,interbank_loan
B007,B167,Directed,0.2481655596,interbank_loan
B008,B001,Directed,1.7522776279,interbank_loan
B008,B005,Directed,0.0036467457,interbank_loan
B008,B009,Directed,1.0968281793,interbank_loan
B008,B010,Directed,0.0013469871,interbank_loan
B008,B012,Directed,1.9747719878,interbank_loan
B008,B018,Directed,0.2611839341,interbank_loan
B008,B021,Directed,0.9461365957,interbank_loan
B008,B024,Directed,3.7061415925,interbank_loan
B008,B026,Directed,0.2038831519,interbank_loan
B008,B027,Directed,1.3294584307,interbank_loan
